Model,TBS1102X
Firmware Version,v2015-08-04-prequal4ch70_v1.3
,
Point Format,Y
Horizontal Units,S
Horizontal Scale,0.0001
Sample Interval,8.00E-07
Filter Frequency,2.00E+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH1
-0.0008,0
-0.0007992,0
-0.0007984,0
-0.0007976,0
-0.0007968,0
-0.000796,-0.04
-0.0007952,0
-0.0007944,0
-0.0007936,0
-0.0007928,0
-0.000792,-0.04
-0.0007912,0
-0.0007904,0
-0.0007896,0
-0.0007888,-0.04
-0.000788,0
-0.0007872,-0.04
-0.0007864,0
-0.0007856,0
-0.0007848,0
-0.000784,0
-0.0007832,-0.04
-0.0007824,-0.04
-0.0007816,0
-0.0007808,-0.04
-0.00078,0
-0.0007792,0
-0.0007784,-0.04
-0.0007776,0
-0.0007768,0
-0.000776,0
-0.0007752,0
-0.0007744,0
-0.0007736,0
-0.0007728,0
-0.000772,0
-0.0007712,0
-0.0007704,0
-0.0007696,-0.04
-0.0007688,0
-0.000768,0
-0.0007672,0
-0.0007664,-0.04
-0.0007656,0
-0.0007648,0
-0.000764,-0.04
-0.0007632,0
-0.0007624,-0.04
-0.0007616,0
-0.0007608,-0.04
-0.00076,-0.04
-0.0007592,0
-0.0007584,0
-0.0007576,0
-0.0007568,0
-0.000756,0
-0.0007552,0
-0.0007544,-0.04
-0.0007536,0
-0.0007528,-0.04
-0.000752,0
-0.0007512,-0.04
-0.0007504,0
-0.0007496,0
-0.0007488,0
-0.000748,0
-0.0007472,0
-0.0007464,0
-0.0007456,0
-0.0007448,0
-0.000744,0
-0.0007432,0
-0.0007424,0
-0.0007416,0
-0.0007408,0
-0.00074,0
-0.0007392,0
-0.0007384,-0.04
-0.0007376,0
-0.0007368,0
-0.000736,0
-0.0007352,0
-0.0007344,-0.04
-0.0007336,0
-0.0007328,0
-0.000732,0
-0.0007312,0
-0.0007304,-0.04
-0.0007296,0
-0.0007288,0
-0.000728,0
-0.0007272,0
-0.0007264,-0.04
-0.0007256,0
-0.0007248,0
-0.000724,0
-0.0007232,0
-0.0007224,0
-0.0007216,0
-0.0007208,0
-0.00072,0
-0.0007192,0
-0.0007184,0
-0.0007176,0
-0.0007168,0
-0.000716,0
-0.0007152,0
-0.0007144,0
-0.0007136,0
-0.0007128,0
-0.000712,0
-0.0007112,0
-0.0007104,0
-0.0007096,0
-0.0007088,0
-0.000708,0
-0.0007072,-0.04
-0.0007064,0
-0.0007056,0
-0.0007048,0
-0.000704,0
-0.0007032,0
-0.0007024,0
-0.0007016,0
-0.0007008,0
-0.0007,0
-0.0006992,0
-0.0006984,-0.04
-0.0006976,0
-0.0006968,0
-0.000696,0
-0.0006952,0
-0.0006944,-0.04
-0.0006936,-0.04
-0.0006928,0
-0.000692,0
-0.0006912,0
-0.0006904,0
-0.0006896,0
-0.0006888,-0.04
-0.000688,0
-0.0006872,0
-0.0006864,0
-0.0006856,0
-0.0006848,0
-0.000684,0
-0.0006832,0
-0.0006824,0
-0.0006816,0
-0.0006808,0
-0.00068,0
-0.0006792,0
-0.0006784,0
-0.0006776,0
-0.0006768,0
-0.000676,-0.04
-0.0006752,0
-0.0006744,0
-0.0006736,0
-0.0006728,0
-0.000672,-0.04
-0.0006712,0
-0.0006704,0
-0.0006696,0
-0.0006688,0
-0.000668,0
-0.0006672,0
-0.0006664,-0.04
-0.0006656,-0.04
-0.0006648,0
-0.000664,0
-0.0006632,-0.04
-0.0006624,0
-0.0006616,0
-0.0006608,0
-0.00066,0
-0.0006592,0
-0.0006584,0
-0.0006576,-0.04
-0.0006568,0
-0.000656,0
-0.0006552,-0.04
-0.0006544,0
-0.0006536,0
-0.0006528,0
-0.000652,-0.04
-0.0006512,-0.04
-0.0006504,0
-0.0006496,-0.04
-0.0006488,0
-0.000648,0
-0.0006472,0
-0.0006464,0
-0.0006456,0
-0.0006448,-0.04
-0.000644,0
-0.0006432,0
-0.0006424,0
-0.0006416,0
-0.0006408,0
-0.00064,0
-0.0006392,0
-0.0006384,-0.04
-0.0006376,0
-0.0006368,0
-0.000636,0
-0.0006352,0
-0.0006344,0
-0.0006336,0
-0.0006328,0
-0.000632,0
-0.0006312,0
-0.0006304,-0.04
-0.0006296,0
-0.0006288,0
-0.000628,-0.04
-0.0006272,0
-0.0006264,0
-0.0006256,0
-0.0006248,-0.04
-0.000624,-0.04
-0.0006232,0
-0.0006224,0
-0.0006216,0
-0.0006208,0
-0.00062,0
-0.0006192,0
-0.0006184,0
-0.0006176,0
-0.0006168,0
-0.000616,0
-0.0006152,0
-0.0006144,0
-0.0006136,0
-0.0006128,0
-0.000612,0
-0.0006112,0
-0.0006104,0
-0.0006096,0
-0.0006088,-0.04
-0.000608,-0.04
-0.0006072,0
-0.0006064,0
-0.0006056,0
-0.0006048,0
-0.000604,0
-0.0006032,0
-0.0006024,0
-0.0006016,0
-0.0006008,0
-0.0006,0
-0.0005992,0
-0.0005984,0
-0.0005976,0
-0.0005968,0
-0.000596,0
-0.0005952,0
-0.0005944,-0.04
-0.0005936,-0.04
-0.0005928,0
-0.000592,0
-0.0005912,0
-0.0005904,0
-0.0005896,0
-0.0005888,0
-0.000588,0
-0.0005872,0
-0.0005864,0
-0.0005856,0
-0.0005848,0
-0.000584,0
-0.0005832,0
-0.0005824,0
-0.0005816,0
-0.0005808,0
-0.00058,0
-0.0005792,0
-0.0005784,0
-0.0005776,0
-0.0005768,0
-0.000576,0
-0.0005752,0
-0.0005744,0
-0.0005736,0
-0.0005728,0
-0.000572,0
-0.0005712,-0.04
-0.0005704,0
-0.0005696,0
-0.0005688,-0.04
-0.000568,0
-0.0005672,0
-0.0005664,0
-0.0005656,0
-0.0005648,0
-0.000564,0
-0.0005632,-0.04
-0.0005624,0
-0.0005616,0
-0.0005608,0
-0.00056,0
-0.0005592,0
-0.0005584,0
-0.0005576,0
-0.0005568,0
-0.000556,0
-0.0005552,0
-0.0005544,0
-0.0005536,0
-0.0005528,0
-0.000552,-0.04
-0.0005512,0
-0.0005504,0
-0.0005496,0
-0.0005488,0
-0.000548,0
-0.0005472,0
-0.0005464,-0.04
-0.0005456,0
-0.0005448,0
-0.000544,0
-0.0005432,0
-0.0005424,-0.04
-0.0005416,0
-0.0005408,0
-0.00054,0
-0.0005392,0
-0.0005384,0
-0.0005376,0
-0.0005368,0
-0.000536,0
-0.0005352,0
-0.0005344,0
-0.0005336,-0.04
-0.0005328,-0.04
-0.000532,0
-0.0005312,-0.04
-0.0005304,0
-0.0005296,0
-0.0005288,0
-0.000528,-0.04
-0.0005272,-0.04
-0.0005264,0
-0.0005256,0
-0.0005248,-0.04
-0.000524,0
-0.0005232,0
-0.0005224,0
-0.0005216,0
-0.0005208,0
-0.00052,0
-0.0005192,0
-0.0005184,0
-0.0005176,0
-0.0005168,0
-0.000516,0
-0.0005152,0
-0.0005144,0
-0.0005136,-0.04
-0.0005128,0
-0.000512,0
-0.0005112,-0.04
-0.0005104,0
-0.0005096,0
-0.0005088,-0.04
-0.000508,-0.04
-0.0005072,0
-0.0005064,0
-0.0005056,0
-0.0005048,-0.04
-0.000504,-0.04
-0.0005032,0
-0.0005024,0
-0.0005016,0
-0.0005008,0
-0.0005,0
-0.0004992,0
-0.0004984,0
-0.0004976,0
-0.0004968,0
-0.000496,0
-0.0004952,-0.04
-0.0004944,0
-0.0004936,-0.04
-0.0004928,0
-0.000492,-0.04
-0.0004912,0
-0.0004904,0
-0.0004896,0
-0.0004888,0
-0.000488,-0.04
-0.0004872,0
-0.0004864,0
-0.0004856,-0.04
-0.0004848,0
-0.000484,0
-0.0004832,0
-0.0004824,0
-0.0004816,-0.04
-0.0004808,0
-0.00048,-0.04
-0.0004792,-0.04
-0.0004784,0
-0.0004776,-0.04
-0.0004768,0
-0.000476,-0.04
-0.0004752,0
-0.0004744,0
-0.0004736,0
-0.0004728,0
-0.000472,-0.04
-0.0004712,0
-0.0004704,0
-0.0004696,0
-0.0004688,0
-0.000468,-0.04
-0.0004672,0
-0.0004664,0
-0.0004656,0
-0.0004648,0
-0.000464,0
-0.0004632,0
-0.0004624,0
-0.0004616,0
-0.0004608,0
-0.00046,-0.04
-0.0004592,0
-0.0004584,0
-0.0004576,0
-0.0004568,0
-0.000456,0
-0.0004552,0
-0.0004544,0
-0.0004536,0
-0.0004528,-0.04
-0.000452,-0.04
-0.0004512,0
-0.0004504,0
-0.0004496,0
-0.0004488,0
-0.000448,0
-0.0004472,0
-0.0004464,0
-0.0004456,0
-0.0004448,-0.04
-0.000444,0
-0.0004432,0
-0.0004424,0
-0.0004416,0
-0.0004408,0
-0.00044,-0.04
-0.0004392,0
-0.0004384,0
-0.0004376,0
-0.0004368,0
-0.000436,0
-0.0004352,0
-0.0004344,0
-0.0004336,0
-0.0004328,0
-0.000432,0
-0.0004312,0
-0.0004304,0
-0.0004296,0
-0.0004288,0
-0.000428,0
-0.0004272,0
-0.0004264,0
-0.0004256,0
-0.0004248,-0.04
-0.000424,0
-0.0004232,0
-0.0004224,0
-0.0004216,0
-0.0004208,0
-0.00042,-0.04
-0.0004192,0
-0.0004184,0
-0.0004176,0
-0.0004168,-0.04
-0.000416,0
-0.0004152,0
-0.0004144,0
-0.0004136,-0.04
-0.0004128,0
-0.000412,-0.04
-0.0004112,0
-0.0004104,0
-0.0004096,0
-0.0004088,0
-0.000408,0
-0.0004072,0
-0.0004064,0
-0.0004056,-0.04
-0.0004048,-0.04
-0.000404,-0.04
-0.0004032,0
-0.0004024,0
-0.0004016,-0.04
-0.0004008,0
-0.0004,0
-0.0003992,0
-0.0003984,0
-0.0003976,0
-0.0003968,0
-0.000396,0
-0.0003952,0
-0.0003944,0
-0.0003936,-0.04
-0.0003928,0
-0.000392,0
-0.0003912,0
-0.0003904,0
-0.0003896,0
-0.0003888,0
-0.000388,0
-0.0003872,0
-0.0003864,0
-0.0003856,0
-0.0003848,0
